student id,Gender,scores submitted,SAT Reading Writing Range,SAT Math Range,ACT Composite Range,High School Ranking,GPA Range,Out of State Flag,Housing,Non-Traditional Student,Transfer Student,Full-Time
474-48-7485,Male,SAT,700-800,500-599,,Top 10,2.50-2.99,No,College Owned/Operated,Yes,No,No
175-73-9067,Female,SAT,600-699,500-599,,Bottom Quarter,3.75+,No,College Owned/Operated,No,No,Yes
541-19-8067,Male,SAT,500-599,600-699,,Top Quarter,2.0-2.49,No,College Owned/Operated,No,No,Yes
012-29-6433,Female,SAT,500-599,500-599,,Bottom Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
179-57-8354,Male,SAT,500-599,500-599,,,3.75+,No,College Owned/Operated,No,No,Yes
940-85-9851,Female,SAT,500-599,600-699,,,1.0-1.99,Yes,College Owned/Operated,Yes,No,Yes
457-30-0188,Male,SAT,500-599,500-599,,,3.50-3.74,No,Off-Campus,No,No,No
209-86-9696,Male,SAT,500-599,400-499,,Top Quarter,3.00-3.24,No,Off-Campus,No,No,Yes
300-24-5345,Female,ACT,,,18-23,,2.0-2.49,Yes,College Owned/Operated,No,No,Yes
432-90-6176,Female,ACT,,,18-23,Bottom Half,2.0-2.49,No,College Owned/Operated,No,No,Yes
765-41-4887,Male,ACT,,,18-23,Bottom Half,3.50-3.74,No,Off-Campus,No,No,No
072-48-2652,Female,ACT,,,18-23,Bottom Half,1.0-1.99,No,College Owned/Operated,Yes,No,Yes
745-67-1695,Female,SAT,600-699,300-399,,Top Half,2.50-2.99,No,College Owned/Operated,No,No,No
905-47-8387,Female,ACT,,,24-29,,2.0-2.49,No,College Owned/Operated,No,No,Yes
148-21-8109,Female,SAT,500-599,500-599,,Top Quarter,1.0-1.99,No,Off-Campus,No,No,No
915-23-6845,Female,SAT,500-599,500-599,,Top Half,2.0-2.49,No,Off-Campus,No,No,Yes
885-87-1324,Male,ACT,,,18-23,Top Quarter,3.25-3.49,No,College Owned/Operated,No,No,Yes
189-73-0608,Female,ACT,,,24-29,,1.0-1.99,No,College Owned/Operated,No,No,Yes
041-50-6078,Female,SAT,600-699,400-499,,,1.0-1.99,No,College Owned/Operated,No,No,Yes
949-61-7496,Female,ACT,,,18-23,,3.00-3.24,No,College Owned/Operated,No,No,Yes
368-33-6483,Male,SAT,500-599,500-599,,Top Half,3.25-3.49,No,College Owned/Operated,No,No,No
185-92-3114,Male,SAT,500-599,500-599,,Top Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
695-69-8479,Male,ACT,,,18-23,Bottom Half,3.50-3.74,No,Off-Campus,No,No,Yes
662-24-1995,Female,ACT,,,18-23,Top Quarter,2.50-2.99,No,College Owned/Operated,No,No,No
498-94-5053,Male,ACT,,,24-29,Bottom Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
966-38-3073,Female,ACT,,,30-36,,3.25-3.49,No,College Owned/Operated,No,No,Yes
732-95-4254,Female,SAT,600-699,500-599,,Top Half,3.00-3.24,No,College Owned/Operated,No,No,Yes
025-13-1937,Male,SAT,500-599,400-499,,Top Half,2.0-2.49,No,College Owned/Operated,No,No,Yes
214-14-1982,Male,ACT,,,24-29,,2.0-2.49,No,College Owned/Operated,No,No,Yes
218-88-1554,Male,ACT,,,18-23,Bottom Quarter,2.0-2.49,No,College Owned/Operated,No,No,Yes
349-83-3769,Female,ACT,,,30-36,Bottom Half,2.50-2.99,Yes,College Owned/Operated,No,No,Yes
835-14-2744,Male,ACT,,,12-17,Top Quarter,2.0-2.49,No,College Owned/Operated,No,No,No
667-80-4165,Male,SAT,500-599,400-499,,,3.25-3.49,No,College Owned/Operated,No,No,Yes
815-40-4669,Female,ACT,,,24-29,Top Half,1.0-1.99,Yes,College Owned/Operated,No,No,Yes
963-41-1085,Female,ACT,,,12-17,,3.50-3.74,No,Off-Campus,No,No,Yes
440-80-0409,Female,ACT,,,18-23,,3.75+,No,College Owned/Operated,No,No,Yes
386-02-4687,Male,ACT,,,24-29,Bottom Quarter,2.0-2.49,No,College Owned/Operated,No,Yes,Yes
903-87-8364,Male,SAT,500-599,500-599,,,1.0-1.99,No,Off-Campus,No,No,Yes
574-65-2231,Female,ACT,,,18-23,,3.50-3.74,No,College Owned/Operated,No,No,No
811-82-3383,Female,ACT,,,18-23,Bottom Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
126-87-1764,Male,SAT,500-599,500-599,,,3.50-3.74,No,College Owned/Operated,No,No,Yes
103-11-4972,Female,SAT,500-599,400-499,,Bottom Half,3.00-3.24,No,College Owned/Operated,No,No,Yes
927-07-3769,Male,SAT,500-599,500-599,,,3.25-3.49,No,College Owned/Operated,No,No,No
409-82-3123,Male,ACT,,,12-17,,3.50-3.74,No,College Owned/Operated,No,No,Yes
436-33-8252,Male,ACT,,,18-23,,1.0-1.99,Yes,College Owned/Operated,No,No,Yes
557-82-3966,Female,ACT,,,24-29,Bottom Half,3.75+,No,College Owned/Operated,No,No,Yes
680-31-9527,Male,SAT,500-599,500-599,,Bottom Half,3.75+,No,College Owned/Operated,No,No,Yes
179-12-0545,Male,SAT,500-599,400-499,,,3.50-3.74,No,College Owned/Operated,No,No,No
219-16-2400,Male,SAT,500-599,600-699,,,3.50-3.74,No,College Owned/Operated,No,No,Yes
488-95-7222,Male,ACT,,,18-23,Bottom Half,1.0-1.99,No,Off-Campus,No,No,Yes
004-99-7988,Male,SAT,500-599,500-599,,,3.75+,No,College Owned/Operated,No,No,Yes
391-38-9307,Male,SAT,400-499,500-599,,,3.00-3.24,No,College Owned/Operated,No,No,Yes
238-32-7594,Male,ACT,,,24-29,,2.50-2.99,Yes,College Owned/Operated,No,No,Yes
733-59-0350,Female,SAT,500-599,400-499,,Bottom Half,2.50-2.99,No,Off-Campus,No,No,Yes
539-00-1356,Female,ACT,,,24-29,Bottom Half,2.0-2.49,Yes,College Owned/Operated,No,No,Yes
930-60-1474,Female,ACT,,,18-23,Top Half,3.00-3.24,No,College Owned/Operated,No,No,Yes
170-41-9171,Female,ACT,,,18-23,,2.0-2.49,No,College Owned/Operated,No,No,Yes
356-16-8997,Male,SAT,500-599,500-599,,Top Half,3.75+,No,College Owned/Operated,No,No,Yes
836-64-9017,Male,SAT,500-599,400-499,,Bottom Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
126-26-5159,Female,ACT,,,18-23,,3.00-3.24,No,College Owned/Operated,No,No,Yes
643-23-7941,Male,ACT,,,18-23,Top Half,3.25-3.49,Yes,College Owned/Operated,No,No,Yes
290-30-1389,Male,SAT,500-599,500-599,,Top Quarter,3.00-3.24,No,College Owned/Operated,No,No,No
043-07-2231,Male,ACT,,,12-17,,1.0-1.99,No,College Owned/Operated,No,No,Yes
982-59-6293,Male,ACT,,,24-29,,2.50-2.99,No,College Owned/Operated,No,No,Yes
205-59-3879,Male,ACT,,,18-23,Top 10,3.50-3.74,No,College Owned/Operated,No,No,Yes
572-53-7667,Male,SAT,400-499,500-599,,,3.00-3.24,No,College Owned/Operated,No,No,Yes
414-48-2459,Female,ACT,,,24-29,,3.00-3.24,No,College Owned/Operated,No,No,Yes
083-87-2135,Female,SAT,600-699,400-499,,,3.75+,No,College Owned/Operated,Yes,No,Yes
647-46-7537,Female,ACT,,,18-23,,2.50-2.99,No,Off-Campus,No,No,No
127-49-5572,Male,ACT,,,18-23,Top Half,3.25-3.49,No,College Owned/Operated,No,No,Yes
341-23-9139,Male,SAT,600-699,600-699,,,3.25-3.49,No,College Owned/Operated,No,No,No
952-33-6523,Female,ACT,,,24-29,,3.75+,No,College Owned/Operated,No,No,Yes
195-79-8168,Female,ACT,,,24-29,,3.75+,Yes,College Owned/Operated,No,No,No
452-95-3922,Male,ACT,,,18-23,Top Half,2.50-2.99,No,College Owned/Operated,Yes,No,No
409-82-5927,Female,ACT,,,18-23,Bottom Half,3.00-3.24,No,College Owned/Operated,No,No,Yes
471-57-9144,Male,SAT,500-599,400-499,,,1.0-1.99,Yes,College Owned/Operated,No,No,Yes
473-49-4331,Female,ACT,,,24-29,,3.50-3.74,No,College Owned/Operated,No,No,Yes
805-94-7432,Male,ACT,,,18-23,Bottom Half,2.0-2.49,No,College Owned/Operated,No,No,No
113-37-9706,Male,SAT,500-599,600-699,,Top Half,3.00-3.24,No,College Owned/Operated,No,No,No
246-29-9346,Male,SAT,500-599,400-499,,Bottom Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
133-78-5280,Female,ACT,,,18-23,,3.00-3.24,No,College Owned/Operated,No,No,No
526-23-3970,Female,SAT,600-699,500-599,,Top Half,3.00-3.24,No,College Owned/Operated,No,No,Yes
461-94-5851,Male,SAT,400-499,500-599,,Top 10,2.50-2.99,No,College Owned/Operated,No,No,No
808-05-0887,Male,SAT,500-599,500-599,,Top Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
871-80-2990,Female,ACT,,,12-17,Top Half,3.75+,Yes,College Owned/Operated,No,No,Yes
135-30-7289,Female,ACT,,,12-17,Top Half,1.0-1.99,No,Off-Campus,No,No,Yes
352-37-6987,Female,SAT,500-599,500-599,,Bottom Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
458-88-1226,Female,ACT,,,30-36,,3.25-3.49,No,College Owned/Operated,No,No,No
510-10-6684,Male,SAT,500-599,400-499,,,2.0-2.49,No,College Owned/Operated,No,No,No
322-09-4624,Male,SAT,500-599,500-599,,Bottom Half,2.0-2.49,Yes,Off-Campus,No,No,Yes
580-72-5185,Female,ACT,,,18-23,,3.50-3.74,No,College Owned/Operated,No,No,Yes
464-28-0547,Male,SAT,400-499,400-499,,,2.0-2.49,No,College Owned/Operated,No,Yes,Yes
298-60-1708,Male,SAT,500-599,400-499,,Bottom Quarter,3.25-3.49,Yes,College Owned/Operated,Yes,No,Yes
948-48-3411,Female,ACT,,,30-36,Top 10,3.75+,No,College Owned/Operated,No,No,Yes
350-66-8192,Male,SAT,500-599,400-499,,Top Half,2.0-2.49,No,College Owned/Operated,No,No,Yes
198-10-8357,Female,SAT,500-599,500-599,,Bottom Half,3.75+,No,College Owned/Operated,No,No,Yes
048-03-1233,Female,ACT,,,24-29,,3.75+,No,College Owned/Operated,No,Yes,Yes
948-46-0536,Male,SAT,500-599,400-499,,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
959-74-7677,Female,SAT,500-599,400-499,,,3.75+,No,College Owned/Operated,No,No,Yes
069-85-0972,Male,SAT,500-599,500-599,,Bottom Half,3.00-3.24,No,Off-Campus,Yes,No,No
533-86-0337,Male,SAT,400-499,500-599,,,1.0-1.99,No,College Owned/Operated,No,No,Yes
460-55-6506,Female,ACT,,,18-23,Bottom Quarter,1.0-1.99,No,College Owned/Operated,No,No,Yes
310-10-5209,Male,ACT,,,18-23,,3.75+,No,College Owned/Operated,No,No,Yes
746-56-9812,Male,ACT,,,24-29,,3.75+,No,College Owned/Operated,No,No,Yes
843-00-2107,Male,SAT,400-499,400-499,,,3.75+,No,College Owned/Operated,No,No,No
300-99-5831,Female,ACT,,,12-17,,3.50-3.74,No,College Owned/Operated,No,No,Yes
734-24-3129,Female,ACT,,,18-23,,3.25-3.49,No,College Owned/Operated,No,No,Yes
986-06-3519,Male,SAT,500-599,500-599,,Top Half,3.75+,No,College Owned/Operated,No,No,Yes
492-54-1668,Male,ACT,,,24-29,,1.0-1.99,No,College Owned/Operated,No,No,Yes
094-75-4164,Male,SAT,600-699,600-699,,Top Quarter,3.25-3.49,No,College Owned/Operated,No,No,No
395-90-8757,Female,SAT,600-699,500-599,,,3.75+,No,College Owned/Operated,No,No,Yes
984-68-1672,Male,SAT,500-599,600-699,,Bottom Half,1.0-1.99,No,College Owned/Operated,No,Yes,Yes
106-09-2968,Female,ACT,,,18-23,Bottom Half,3.75+,No,College Owned/Operated,No,No,Yes
979-42-6070,Female,ACT,,,18-23,Top Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
353-77-1820,Female,ACT,,,18-23,Top Half,2.0-2.49,No,College Owned/Operated,No,No,Yes
469-47-6324,Male,ACT,,,18-23,Top Quarter,2.50-2.99,No,College Owned/Operated,No,No,No
007-53-1496,Male,ACT,,,24-29,Top Quarter,3.75+,No,College Owned/Operated,No,No,Yes
097-00-9483,Male,ACT,,,18-23,Top 10,3.50-3.74,No,College Owned/Operated,No,No,Yes
895-42-8209,Female,ACT,,,30-36,,3.25-3.49,No,College Owned/Operated,No,No,Yes
684-75-4280,Female,ACT,,,18-23,Top Half,3.00-3.24,No,College Owned/Operated,No,No,Yes
585-04-4195,Male,SAT,500-599,500-599,,Top Half,3.00-3.24,No,College Owned/Operated,No,No,Yes
154-74-3194,Female,SAT,600-699,700-800,,,3.50-3.74,No,Off-Campus,No,No,No
103-89-4216,Female,ACT,,,24-29,Bottom Half,3.50-3.74,Yes,Off-Campus,No,No,Yes
026-21-5710,Female,ACT,,,12-17,,3.00-3.24,No,Off-Campus,No,No,Yes
081-93-2893,Male,ACT,,,18-23,Bottom Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
863-80-9879,Female,ACT,,,30-36,,3.50-3.74,No,College Owned/Operated,No,No,Yes
112-45-4869,Female,ACT,,,18-23,,1.0-1.99,No,College Owned/Operated,No,No,No
726-98-9669,Female,SAT,500-599,500-599,,Top Quarter,2.0-2.49,No,College Owned/Operated,No,No,Yes
292-05-0184,Female,SAT,500-599,600-699,,,2.50-2.99,No,College Owned/Operated,No,Yes,Yes
188-56-4809,Male,ACT,,,18-23,,2.50-2.99,No,College Owned/Operated,No,Yes,Yes
878-16-9173,Male,SAT,400-499,400-499,,Top Half,2.0-2.49,No,College Owned/Operated,No,No,Yes
771-76-8966,Male,ACT,,,24-29,Top Quarter,3.25-3.49,No,College Owned/Operated,No,No,No
301-12-6697,Female,ACT,,,18-23,Bottom Half,3.75+,No,College Owned/Operated,No,No,Yes
503-97-0986,Male,ACT,,,18-23,,2.50-2.99,No,College Owned/Operated,No,No,No
050-29-0467,Female,SAT,400-499,400-499,,,3.75+,No,College Owned/Operated,No,No,Yes
863-72-2198,Not Disclosed,SAT,600-699,500-599,,Top Quarter,2.50-2.99,No,College Owned/Operated,No,No,Yes
528-42-0283,Female,ACT,,,18-23,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
567-50-9635,Female,ACT,,,24-29,,1.0-1.99,No,College Owned/Operated,No,No,No
532-98-9507,Female,SAT,600-699,400-499,,Top Quarter,3.00-3.24,No,College Owned/Operated,No,Yes,Yes
671-52-1470,Female,SAT,400-499,500-599,,,3.25-3.49,No,College Owned/Operated,No,No,Yes
275-10-8970,Female,ACT,,,18-23,,2.0-2.49,No,Off-Campus,No,No,Yes
025-34-2844,Female,ACT,,,18-23,Top Half,3.25-3.49,No,College Owned/Operated,No,No,Yes
003-26-0619,Male,ACT,,,24-29,Top Quarter,3.25-3.49,No,College Owned/Operated,No,No,Yes
978-63-5890,Female,ACT,,,18-23,Top Half,2.50-2.99,No,Off-Campus,No,No,Yes
546-59-8379,Female,SAT,500-599,500-599,,Top Quarter,3.50-3.74,No,College Owned/Operated,No,No,No
505-63-4606,Male,SAT,500-599,400-499,,Top Half,3.00-3.24,Yes,College Owned/Operated,No,No,Yes
398-04-4949,Male,ACT,,,18-23,,3.75+,No,College Owned/Operated,No,No,Yes
131-90-2325,Male,ACT,,,18-23,Top Half,3.50-3.74,Yes,College Owned/Operated,No,No,No
797-21-1688,Male,ACT,,,24-29,,3.75+,Yes,College Owned/Operated,No,No,Yes
124-15-8181,Female,ACT,,,18-23,Bottom Half,2.0-2.49,No,College Owned/Operated,No,Yes,Yes
488-22-1331,Female,ACT,,,24-29,,2.0-2.49,No,College Owned/Operated,No,No,Yes
284-07-2677,Male,ACT,,,24-29,Bottom Half,2.0-2.49,Yes,Off-Campus,No,No,Yes
822-59-3638,Male,ACT,,,18-23,,1.0-1.99,No,College Owned/Operated,No,No,Yes
806-04-4661,Female,ACT,,,18-23,,3.50-3.74,No,College Owned/Operated,No,No,Yes
790-49-5465,Female,ACT,,,18-23,,3.00-3.24,No,College Owned/Operated,No,No,Yes
703-51-6849,Female,SAT,500-599,500-599,,,3.50-3.74,No,College Owned/Operated,Yes,No,Yes
717-04-9321,Female,SAT,500-599,500-599,,,2.0-2.49,No,College Owned/Operated,No,No,Yes
610-50-1328,Female,ACT,,,18-23,,3.75+,No,College Owned/Operated,No,No,No
287-65-4459,Male,SAT,500-599,500-599,,Top Half,3.75+,No,College Owned/Operated,No,No,Yes
891-76-9274,Male,SAT,500-599,500-599,,Bottom Half,3.00-3.24,No,Off-Campus,No,No,Yes
472-96-5276,Male,ACT,,,18-23,Bottom Half,2.50-2.99,No,Off-Campus,No,No,Yes
086-34-5993,Not Disclosed,ACT,,,12-17,Bottom Half,2.0-2.49,No,College Owned/Operated,No,No,No
744-67-3726,Male,SAT,500-599,500-599,,Bottom Quarter,2.50-2.99,No,College Owned/Operated,No,No,Yes
628-69-0917,Not Disclosed,ACT,,,24-29,Top Half,1.0-1.99,No,Off-Campus,No,No,Yes
465-91-7345,Male,ACT,,,30-36,Top Half,3.75+,No,College Owned/Operated,No,No,No
617-68-7190,Male,SAT,500-599,500-599,,Top Half,2.0-2.49,No,College Owned/Operated,No,No,Yes
124-19-2774,Female,ACT,,,24-29,,3.00-3.24,No,College Owned/Operated,No,No,Yes
722-26-6001,Female,SAT,500-599,500-599,,Bottom Quarter,2.50-2.99,No,College Owned/Operated,No,No,Yes
582-75-7367,Female,SAT,500-599,400-499,,Top Quarter,3.50-3.74,No,College Owned/Operated,No,No,Yes
658-37-0845,Female,ACT,,,30-36,,2.0-2.49,No,Off-Campus,No,No,Yes
833-61-6403,Female,SAT,400-499,500-599,,,2.50-2.99,No,College Owned/Operated,No,No,No
541-97-1137,Male,ACT,,,18-23,,2.50-2.99,No,College Owned/Operated,No,No,Yes
337-25-9410,Female,ACT,,,30-36,,2.50-2.99,No,College Owned/Operated,No,No,Yes
600-54-0368,Female,SAT,500-599,400-499,,Bottom Half,3.25-3.49,Yes,College Owned/Operated,No,No,Yes
506-09-8800,Female,ACT,,,12-17,Top Half,3.25-3.49,No,Off-Campus,No,No,Yes
641-31-4309,Male,SAT,500-599,500-599,,Top Half,3.75+,No,Off-Campus,No,No,No
425-03-4292,Male,ACT,,,24-29,,3.75+,No,College Owned/Operated,No,No,Yes
859-92-2899,Trans,ACT,,,12-17,,3.75+,No,Off-Campus,No,Yes,No
248-28-8827,Male,ACT,,,18-23,Top Quarter,2.50-2.99,No,College Owned/Operated,No,No,No
093-81-7116,Female,SAT,500-599,500-599,,,3.25-3.49,No,College Owned/Operated,No,No,Yes
323-39-8768,Female,ACT,,,18-23,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
030-70-1843,Male,SAT,400-499,600-699,,,2.50-2.99,No,Off-Campus,No,No,Yes
368-45-6966,Male,SAT,500-599,500-599,,,3.00-3.24,No,Off-Campus,No,No,Yes
365-20-7449,Female,SAT,600-699,600-699,,,3.25-3.49,No,Off-Campus,No,No,No
102-41-1989,Female,SAT,400-499,400-499,,,2.50-2.99,Yes,College Owned/Operated,No,No,Yes
911-26-3497,Female,SAT,500-599,500-599,,Top Quarter,1.0-1.99,No,College Owned/Operated,Yes,No,Yes
518-22-4793,Male,ACT,,,18-23,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
928-02-2358,Male,ACT,,,18-23,Top Half,2.50-2.99,No,College Owned/Operated,No,No,Yes
390-11-5962,Trans,SAT,500-599,500-599,,Top Half,1.0-1.99,No,College Owned/Operated,No,No,Yes
150-83-8714,Female,ACT,,,24-29,Bottom Half,3.50-3.74,No,College Owned/Operated,No,No,Yes
324-72-9715,Male,ACT,,,12-17,Bottom Quarter,1.0-1.99,No,College Owned/Operated,No,No,Yes
008-33-4196,Male,ACT,,,18-23,,3.00-3.24,No,Off-Campus,No,No,Yes
