ticket_number,requestor_fname,requestor_lname,owner_group,issue_category,ticket_type,severity,days_open,statisfaction_score,ticket status,created_date
626-881076-5079-4-U,Bartholomew,Emson,Networking,Access/Login,Request,2 - Medium,33,3 - Highly Satisfied,Resolved,3/16/2020
069-454742-1390-0-O,Arabele,Miall,Security and Governance,Access/Login,Request,2 - Medium,14,0 - Unknown,Open,8/17/2020
993-128179-9839-9-I,Franni,Lacheze,Architecture,Hardware,Request,0 - Unassigned,23,2 - Satisfied,Open,10/19/2020
832-012175-6289-5-R,Becka,Abbes,Security and Governance,Access/Login,Issue,1 - Low,17,0 - Unknown,Resolved,8/21/2020
616-919949-7056-5-U,Elijah,Yoseloff,Architecture,Hardware,Request,2 - Medium,10,0 - Unknown,Open,7/14/2020
423-258628-7890-9-J,Nico,Goodinge,Networking,Hardware,Issue,0 - Unassigned,22,2 - Satisfied,Waiting for Requestor Feedback,10/29/2020
794-618077-7113-6-E,Simeon,Longlands,Networking,Hardware,Request,0 - Unassigned,9,3 - Highly Satisfied,Open,8/29/2020
817-760143-6230-5-I,Arnuad,Pasley,Software,Software,Request,0 - Unassigned,3,2 - Satisfied,Open,8/23/2020
884-072630-5743-6-J,Wake,Mottram,Security and Governance,Access/Login,Request,2 - Medium,6,0 - Unknown,Open,5/13/2020
247-307098-0644-2-G,Gilly,Shortcliffe,Networking,Access/Login,Request,1 - Low,19,1 - Unsatisfied,Open,3/25/2020
269-279047-5620-5-C,Ethelbert,Milburn,Networking,Systems,Issue,2 - Medium,26,0 - Unknown,Open,9/1/2020
328-034303-3033-6-R,Jennilee,Baldoni,Software,Software,Request,0 - Unassigned,4,1 - Unsatisfied,Open,4/2/2020
811-947364-0165-2-N,Eliot,Keeling,Security and Governance,Access/Login,Request,3 - High,5,0 - Unknown,Open,6/17/2020
189-595930-6102-5-W,Mathew,Collum,Architecture,Hardware,Issue,0 - Unassigned,2,0 - Unknown,Open,7/5/2020
535-511132-0114-6-V,Cordell,Finlayson,Hardware,Hardware,Issue,0 - Unassigned,8,2 - Satisfied,Resolved,9/8/2020
767-688580-9119-8-F,Dorris,Geale,Security and Governance,Access/Login,Request,1 - Low,20,2 - Satisfied,Open,6/24/2020
315-664057-8726-3-A,Effie,Sepey,Hardware,Hardware,Request,2 - Medium,26,3 - Highly Satisfied,Open,5/1/2020
920-483231-6446-6-N,Kimbra,Flattman,Architecture,Systems,Request,0 - Unassigned,28,3 - Highly Satisfied,Open,7/20/2020
870-734497-9103-1-D,Virgilio,Yerrell,Networking,Hardware,Request,2 - Medium,31,0 - Unknown,Open,10/22/2020
247-240890-3492-6-R,Sarina,Twelvetree,Hardware,Hardware,Request,1 - Low,2,2 - Satisfied,Open,7/25/2020
086-183209-7626-6-O,Nettle,Dobson,Hardware,Hardware,Request,1 - Low,35,3 - Highly Satisfied,Open,7/16/2020
099-771813-8983-2-W,Tobe,Rickards,Hardware,Hardware,Issue,1 - Low,37,2 - Satisfied,Open,5/4/2020
234-377020-6608-4-W,Cassie,Webermann,Architecture,Systems,Request,2 - Medium,7,3 - Highly Satisfied,Waiting for Requestor Feedback,10/15/2020
880-151217-3992-8-M,Kerrill,Colly,Security and Governance,Access/Login,Issue,2 - Medium,29,2 - Satisfied,Open,8/10/2020
927-356264-1695-7-W,Worth,Yakunikov,Networking,Systems,Request,3 - High,1,3 - Highly Satisfied,Closed - No Action,6/16/2020
257-822048-5622-5-H,Guthrie,Trowell,Hardware,Systems,Request,3 - High,26,0 - Unknown,Resolved,7/24/2020
437-281428-3688-0-H,Carmella,Archbald,Architecture,Systems,Issue,3 - High,19,2 - Satisfied,Open,8/10/2020
242-813672-3382-0-W,Cindi,Drennan,Software,Access/Login,Request,0 - Unassigned,30,2 - Satisfied,Waiting for Requestor Feedback,3/3/2020
015-518792-7187-4-M,Richart,Cornelleau,Hardware,Hardware,Request,1 - Low,9,2 - Satisfied,Resolved,5/28/2020
999-372513-0533-0-Q,Alvin,Meryett,Architecture,Systems,Request,1 - Low,22,0 - Unknown,Open,3/17/2020
899-578600-8204-6-R,Friederike,Peterson,Architecture,Hardware,Issue,0 - Unassigned,10,0 - Unknown,Open,7/26/2020
570-029423-2320-4-V,Kendre,Yandle,Software,Software,Issue,1 - Low,21,1 - Unsatisfied,Resolved,4/25/2020
526-991880-7425-5-Y,Stacy,Sidney,Software,Access/Login,Issue,0 - Unassigned,35,2 - Satisfied,Open,5/24/2020
400-300079-5727-2-T,Lorrie,Dybell,Security and Governance,Access/Login,Request,1 - Low,37,2 - Satisfied,Open,6/5/2020
268-049130-3592-8-Q,Sheffy,Andrichak,Architecture,Hardware,Request,1 - Low,22,2 - Satisfied,Open,5/12/2020
495-157049-4073-5-Q,Matthieu,Goodinson,Software,Software,Request,1 - Low,31,3 - Highly Satisfied,Open,10/22/2020
218-862740-4614-4-O,Ellery,Vigours,Hardware,Hardware,Issue,2 - Medium,14,0 - Unknown,Open,5/16/2020
776-494071-0647-0-N,Corabella,Connell,Software,Software,Request,1 - Low,1,0 - Unknown,Open,5/16/2020
179-540281-4098-3-M,Anstice,Hawford,Security and Governance,Access/Login,Issue,0 - Unassigned,27,1 - Unsatisfied,Waiting for Requestor Feedback,10/1/2020
690-970552-4856-1-Q,Marti,Huntley,Architecture,Systems,Request,0 - Unassigned,23,3 - Highly Satisfied,Open,9/30/2020
889-403183-3853-3-Q,Annie,Mattiessen,Software,Software,Request,2 - Medium,34,0 - Unknown,Waiting for Requestor Feedback,5/13/2020
651-534505-2966-1-M,Gregory,Middleton,Software,Access/Login,Request,0 - Unassigned,4,0 - Unknown,Waiting for Requestor Feedback,5/22/2020
761-672182-8295-2-E,Keefer,Jillings,Architecture,Systems,Request,0 - Unassigned,30,3 - Highly Satisfied,Open,3/13/2020
696-360395-9269-5-C,Lizzy,Bushrod,Architecture,Systems,Issue,2 - Medium,25,3 - Highly Satisfied,Open,4/2/2020
795-869477-0740-1-N,Vonni,Beamand,Architecture,Systems,Issue,3 - High,6,0 - Unknown,Open,7/11/2020
577-481211-9399-7-U,Rudd,Hargie,Networking,Access/Login,Request,1 - Low,13,0 - Unknown,Open,6/12/2020
479-409226-8767-4-F,Almeria,Jephcott,Hardware,Hardware,Request,1 - Low,28,2 - Satisfied,Open,6/23/2020
523-607708-0648-2-M,Lucinda,Nehlsen,Hardware,Hardware,Issue,3 - High,31,0 - Unknown,Open,3/2/2020
156-057552-7713-4-E,Northrop,Merrell,Architecture,Systems,Request,0 - Unassigned,36,0 - Unknown,Open,5/18/2020
700-592255-7382-7-K,Gloriane,Bernadot,Security and Governance,Access/Login,Request,1 - Low,11,3 - Highly Satisfied,Open,5/17/2020
139-245245-0046-9-K,Shandra,Nelhams,Networking,Access/Login,Request,1 - Low,24,0 - Unknown,Open,9/25/2020
775-378088-3520-5-D,Kayne,Capper,Architecture,Systems,Request,3 - High,8,3 - Highly Satisfied,Open,3/3/2020
700-634054-1745-8-R,Sasha,Huzzey,Hardware,Systems,Request,1 - Low,29,3 - Highly Satisfied,Resolved,7/2/2020
361-850650-6929-9-K,Sally,Bargh,Software,Access/Login,Request,2 - Medium,33,2 - Satisfied,Resolved,7/10/2020
469-260606-2113-5-N,Georgia,Bartczak,Networking,Access/Login,Request,2 - Medium,17,2 - Satisfied,Waiting for Requestor Feedback,9/27/2020
803-806558-7256-3-I,Merridie,Merrall,Security and Governance,Access/Login,Issue,0 - Unassigned,26,2 - Satisfied,Open,6/23/2020
386-609919-0296-5-N,Lilli,Tungate,Security and Governance,Access/Login,Request,0 - Unassigned,24,2 - Satisfied,Resolved,3/18/2020
071-165556-5543-7-D,Fayette,Balaam,Hardware,Hardware,Issue,1 - Low,17,0 - Unknown,Waiting for Requestor Feedback,9/7/2020
241-400466-3902-3-C,Korrie,Codi,Networking,Hardware,Issue,1 - Low,24,0 - Unknown,Resolved,7/17/2020
025-502060-6939-4-A,Allianora,Batchellor,Security and Governance,Access/Login,Request,1 - Low,25,2 - Satisfied,Waiting for Requestor Feedback,7/25/2020
195-376511-0343-6-W,Silvana,Campelli,Networking,Access/Login,Issue,2 - Medium,22,0 - Unknown,Waiting for Requestor Feedback,6/28/2020
443-144556-9983-2-Z,Madelaine,Guillon,Networking,Access/Login,Issue,0 - Unassigned,24,0 - Unknown,Resolved,5/26/2020
936-108793-4822-9-P,Hedvig,Crayton,Hardware,Systems,Request,3 - High,10,3 - Highly Satisfied,Open,4/12/2020
805-892094-4880-8-P,Lorilee,Mainstone,Architecture,Systems,Issue,1 - Low,34,1 - Unsatisfied,Open,7/7/2020
977-512148-6783-6-E,Abner,Choldcroft,Software,Access/Login,Request,1 - Low,19,2 - Satisfied,Open,3/28/2020
372-501723-6539-6-O,Angy,Touret,Security and Governance,Access/Login,Request,1 - Low,24,3 - Highly Satisfied,Open,6/17/2020
511-635375-4253-8-B,Jone,Fawssett,Security and Governance,Access/Login,Issue,2 - Medium,11,0 - Unknown,Open,4/16/2020
870-477303-6684-8-G,Caril,Ick,Hardware,Systems,Request,0 - Unassigned,15,0 - Unknown,Open,7/24/2020
661-593237-6235-5-P,Neille,Summerfield,Software,Software,Issue,0 - Unassigned,34,0 - Unknown,Open,4/5/2020
919-029202-6396-0-W,Stormi,Portis,Security and Governance,Access/Login,Issue,0 - Unassigned,21,2 - Satisfied,Open,10/2/2020
176-503097-0604-9-A,Mirella,Jeans,Hardware,Systems,Issue,1 - Low,16,2 - Satisfied,Open,7/7/2020
589-193258-5948-0-Y,Faunie,Hatch,Networking,Access/Login,Issue,1 - Low,14,0 - Unknown,Open,4/14/2020
689-847960-9733-0-K,Hermann,McKimm,Software,Access/Login,Request,0 - Unassigned,13,3 - Highly Satisfied,Resolved,3/1/2020
693-444769-4618-0-Y,Morley,Bourcq,Software,Software,Issue,1 - Low,21,0 - Unknown,Waiting for Requestor Feedback,9/26/2020
195-959806-0959-8-I,Dolley,Keling,Architecture,Systems,Issue,0 - Unassigned,9,2 - Satisfied,Open,3/9/2020
771-627781-9567-4-S,Burke,Seymour,Architecture,Systems,Request,2 - Medium,8,1 - Unsatisfied,Waiting for Requestor Feedback,8/27/2020
572-528425-2200-8-I,Lesley,Yurov,Networking,Systems,Request,0 - Unassigned,3,2 - Satisfied,Open,3/26/2020
968-615621-6579-4-L,Antonina,Ruffell,Networking,Hardware,Issue,3 - High,22,0 - Unknown,Open,10/19/2020
082-973658-5224-8-S,Pammie,Swyre,Networking,Access/Login,Issue,3 - High,30,0 - Unknown,Waiting for Requestor Feedback,7/18/2020
871-662114-7357-5-Y,Alex,Soar,Security and Governance,Access/Login,Issue,3 - High,3,2 - Satisfied,Open,3/2/2020
530-189856-3672-6-H,Fara,Cusick,Networking,Systems,Issue,1 - Low,25,2 - Satisfied,Open,8/24/2020
200-402478-3218-6-O,Joni,Vasyatkin,Software,Access/Login,Request,3 - High,11,0 - Unknown,Open,8/31/2020
795-131085-7785-5-O,Giulio,Vreiberg,Software,Access/Login,Request,3 - High,25,3 - Highly Satisfied,Resolved,8/23/2020
370-611625-1531-9-E,Darbie,Meriet,Hardware,Hardware,Issue,1 - Low,1,0 - Unknown,Open,4/26/2020
424-401847-8373-6-I,Romain,Congram,Networking,Systems,Request,3 - High,4,2 - Satisfied,Open,6/9/2020
804-016950-3279-6-S,Yul,Staziker,Software,Access/Login,Request,0 - Unassigned,16,3 - Highly Satisfied,Open,10/24/2020
405-425103-3762-0-L,Lynsey,Lambillion,Hardware,Systems,Issue,2 - Medium,35,3 - Highly Satisfied,Open,7/12/2020
111-025406-1298-5-F,Augie,Wickrath,Software,Software,Request,0 - Unassigned,36,0 - Unknown,Resolved,5/22/2020
654-445564-9414-0-F,Holden,Spehr,Hardware,Hardware,Issue,3 - High,36,2 - Satisfied,Resolved,10/15/2020
909-772368-4311-0-G,Hillary,Duffitt,Security and Governance,Access/Login,Request,0 - Unassigned,14,0 - Unknown,Open,10/28/2020
272-967285-2453-1-U,Vernice,Lawlee,Networking,Systems,Request,3 - High,9,2 - Satisfied,Open,3/9/2020
912-350111-8053-9-G,Nathalie,Crich,Security and Governance,Access/Login,Request,1 - Low,12,1 - Unsatisfied,Open,5/27/2020
021-800492-5688-9-G,Tobias,Maggiori,Software,Access/Login,Request,0 - Unassigned,13,0 - Unknown,Open,6/17/2020
514-760499-3664-1-A,Cassie,Wellbelove,Networking,Access/Login,Issue,1 - Low,20,3 - Highly Satisfied,Resolved,3/12/2020
807-143390-9982-9-Y,Dannye,Hamberston,Security and Governance,Access/Login,Issue,1 - Low,13,0 - Unknown,Waiting for Requestor Feedback,8/9/2020
317-845776-6761-8-F,Lil,Brightling,Security and Governance,Access/Login,Request,3 - High,21,0 - Unknown,Waiting for Requestor Feedback,3/1/2020
349-222758-2325-4-I,Livy,Olivelli,Software,Access/Login,Issue,0 - Unassigned,25,0 - Unknown,Open,3/10/2020
658-045771-6057-2-K,Stanleigh,Parker,Security and Governance,Access/Login,Issue,2 - Medium,26,3 - Highly Satisfied,Resolved,9/17/2020
512-535747-0439-4-Y,Fedora,Mortimer,Security and Governance,Access/Login,Issue,1 - Low,32,0 - Unknown,Open,3/15/2020
213-216241-7331-8-K,Sidoney,Moores,Hardware,Systems,Issue,1 - Low,31,3 - Highly Satisfied,Resolved,9/14/2020
576-802088-2492-9-D,Addy,Grimsell,Architecture,Hardware,Issue,0 - Unassigned,26,3 - Highly Satisfied,Open,6/17/2020
062-683770-1291-4-U,Archibaldo,Stuckow,Networking,Systems,Issue,0 - Unassigned,23,3 - Highly Satisfied,Open,3/27/2020
852-443183-6058-8-S,Hersh,Foad,Software,Access/Login,Request,2 - Medium,32,0 - Unknown,Open,6/28/2020
931-206274-0915-2-I,Pen,Fleeming,Software,Access/Login,Issue,1 - Low,14,2 - Satisfied,Waiting for Requestor Feedback,9/30/2020
038-066147-9379-8-J,Darell,Puddan,Software,Access/Login,Issue,0 - Unassigned,3,0 - Unknown,Open,9/10/2020
263-483011-8296-4-V,Ferd,Benneton,Networking,Systems,Request,0 - Unassigned,32,2 - Satisfied,Open,8/16/2020
771-118701-3210-0-M,Sheppard,Scampion,Architecture,Hardware,Request,3 - High,12,0 - Unknown,Open,6/7/2020
416-109731-9742-4-H,Forrest,Etty,Networking,Access/Login,Issue,1 - Low,24,3 - Highly Satisfied,Open,8/25/2020
968-942914-9763-0-I,Myer,Tilson,Software,Software,Request,3 - High,31,0 - Unknown,Open,7/13/2020
891-473135-2806-8-H,Morganne,Moorerud,Software,Access/Login,Request,1 - Low,24,2 - Satisfied,Open,7/15/2020
845-095050-3567-5-A,Eddi,Vowden,Architecture,Systems,Issue,1 - Low,11,3 - Highly Satisfied,Open,10/9/2020
264-233649-7517-2-S,Dania,Marsay,Networking,Access/Login,Issue,2 - Medium,24,1 - Unsatisfied,Open,4/12/2020
903-611968-2798-1-G,Andie,Eadmeads,Architecture,Hardware,Issue,0 - Unassigned,27,1 - Unsatisfied,Open,7/24/2020
935-133564-8620-9-N,Tuesday,Andretti,Security and Governance,Access/Login,Issue,1 - Low,34,2 - Satisfied,Open,5/7/2020
381-700661-2154-5-R,Carlynne,Giacomini,Architecture,Systems,Issue,0 - Unassigned,25,0 - Unknown,Waiting for Requestor Feedback,9/20/2020
179-319520-6399-9-B,Kathleen,Sibbit,Security and Governance,Access/Login,Request,0 - Unassigned,31,2 - Satisfied,Open,4/12/2020
673-968339-2807-7-A,Josie,Marrow,Software,Access/Login,Request,1 - Low,16,0 - Unknown,Resolved,4/27/2020
683-891706-9643-5-J,Bernice,Riddler,Software,Access/Login,Request,2 - Medium,2,2 - Satisfied,Waiting for Requestor Feedback,9/8/2020
041-827058-7927-8-Z,Brit,Donaldson,Hardware,Hardware,Issue,0 - Unassigned,27,1 - Unsatisfied,Open,8/21/2020
826-792576-8130-0-S,Thaine,Blown,Software,Software,Request,0 - Unassigned,3,2 - Satisfied,Open,7/24/2020
739-174507-9957-7-A,Willow,Crocetto,Architecture,Hardware,Issue,3 - High,14,1 - Unsatisfied,Open,3/22/2020
326-919611-0962-3-M,Adela,Vick,Software,Access/Login,Issue,3 - High,3,2 - Satisfied,Open,5/6/2020
695-072659-2398-4-I,Reece,Frewer,Hardware,Hardware,Issue,1 - Low,20,3 - Highly Satisfied,Open,5/2/2020
951-315304-5373-1-I,Dulcinea,Farres,Networking,Systems,Issue,3 - High,19,2 - Satisfied,Open,5/6/2020
682-209757-9193-6-N,Wren,Fullick,Architecture,Systems,Issue,2 - Medium,28,1 - Unsatisfied,Waiting for Requestor Feedback,8/15/2020
169-259350-5778-2-G,Yurik,Cowlin,Security and Governance,Access/Login,Issue,0 - Unassigned,13,0 - Unknown,Waiting for Requestor Feedback,5/10/2020
303-323392-5649-1-V,Kellyann,Gouldsmith,Networking,Access/Login,Request,3 - High,12,2 - Satisfied,Open,7/5/2020
837-409958-3557-7-K,Mechelle,Andrat,Security and Governance,Access/Login,Request,1 - Low,23,3 - Highly Satisfied,Open,10/27/2020
863-840468-0323-4-W,Barry,Blasing,Hardware,Systems,Issue,1 - Low,28,0 - Unknown,Open,6/12/2020
224-143812-3036-0-M,Danyelle,Crucitti,Hardware,Hardware,Issue,2 - Medium,1,3 - Highly Satisfied,Waiting for Requestor Feedback,9/9/2020
056-945330-1482-6-U,Bing,O'Kerin,Architecture,Hardware,Issue,0 - Unassigned,14,3 - Highly Satisfied,Open,8/31/2020
265-903525-0314-8-N,Dalston,Philpotts,Security and Governance,Access/Login,Issue,2 - Medium,21,2 - Satisfied,Open,5/18/2020
906-636580-9787-2-F,Iolande,Hambright,Hardware,Systems,Request,2 - Medium,6,3 - Highly Satisfied,Waiting for Requestor Feedback,5/19/2020
024-236351-7873-2-F,Chery,Sheffield,Architecture,Hardware,Request,0 - Unassigned,18,3 - Highly Satisfied,Open,8/13/2020
707-977642-9152-7-L,Ezechiel,Langsdon,Hardware,Hardware,Request,1 - Low,19,0 - Unknown,Open,3/23/2020
553-986656-1998-0-S,Peadar,Skerratt,Software,Software,Issue,3 - High,17,1 - Unsatisfied,Waiting for Requestor Feedback,10/10/2020
068-168680-0692-6-G,Archibold,Lougheed,Architecture,Systems,Request,1 - Low,14,3 - Highly Satisfied,Open,4/3/2020
254-135816-8414-1-J,Ely,Cosin,Architecture,Hardware,Issue,0 - Unassigned,32,0 - Unknown,Open,5/30/2020
658-945977-2028-9-Z,Esme,Haye,Architecture,Systems,Issue,2 - Medium,4,0 - Unknown,Open,5/18/2020
793-455846-7180-6-T,Berne,Pershouse,Software,Access/Login,Request,0 - Unassigned,8,0 - Unknown,Open,6/25/2020
246-362295-7090-5-N,Shaina,Renish,Software,Access/Login,Request,3 - High,26,0 - Unknown,Waiting for Requestor Feedback,7/10/2020
874-744704-8016-1-W,Adah,Crellin,Software,Access/Login,Issue,0 - Unassigned,29,2 - Satisfied,Open,4/27/2020
428-213414-9670-8-O,Vanya,Waud,Networking,Hardware,Issue,3 - High,4,1 - Unsatisfied,Resolved,10/12/2020
341-855973-7503-7-R,Myra,Yate,Architecture,Systems,Issue,2 - Medium,29,0 - Unknown,Waiting for Requestor Feedback,10/21/2020
843-215696-0738-5-D,Elyn,Glashby,Architecture,Hardware,Request,0 - Unassigned,36,0 - Unknown,Waiting for Requestor Feedback,9/14/2020
564-694970-9197-5-X,Arlana,Coverdale,Networking,Hardware,Issue,3 - High,32,0 - Unknown,Resolved,5/26/2020
267-424092-9358-7-N,Terry,Teacy,Architecture,Hardware,Issue,1 - Low,13,0 - Unknown,Resolved,7/24/2020
255-154045-3551-3-M,Kristofor,Kinnaird,Security and Governance,Access/Login,Issue,2 - Medium,21,0 - Unknown,Closed - No Action,3/11/2020
032-123245-7687-3-V,Vikky,Lardeur,Hardware,Systems,Issue,0 - Unassigned,30,0 - Unknown,Resolved,6/19/2020
180-307291-6724-5-J,Justino,Yeudall,Software,Access/Login,Issue,1 - Low,23,0 - Unknown,Open,8/23/2020
109-757760-6654-5-P,Sutton,Sweatland,Software,Access/Login,Issue,0 - Unassigned,34,3 - Highly Satisfied,Open,7/26/2020
534-485630-7844-0-L,Ruby,Fennelow,Networking,Access/Login,Request,1 - Low,1,2 - Satisfied,Closed - No Action,8/12/2020
985-861880-4672-3-A,Larisa,Skull,Networking,Systems,Request,3 - High,34,3 - Highly Satisfied,Open,7/23/2020
409-310579-8115-9-A,Reidar,Wardall,Software,Access/Login,Request,1 - Low,24,0 - Unknown,Open,9/20/2020
254-848418-5582-1-U,Marlowe,Pickavance,Software,Software,Issue,2 - Medium,23,1 - Unsatisfied,Open,4/5/2020
921-156959-2453-8-G,Jena,Ishaki,Security and Governance,Access/Login,Request,2 - Medium,18,3 - Highly Satisfied,Resolved,6/21/2020
735-408944-0596-5-M,Marga,Yanuk,Networking,Systems,Issue,3 - High,10,0 - Unknown,Open,7/23/2020
230-224667-3440-3-X,Harmonia,Paolozzi,Security and Governance,Access/Login,Request,0 - Unassigned,3,2 - Satisfied,Open,7/15/2020
249-975402-8637-6-S,Isis,Halcro,Hardware,Systems,Request,0 - Unassigned,5,0 - Unknown,Open,8/6/2020
834-178218-6408-7-X,Torrin,Dansie,Security and Governance,Access/Login,Request,0 - Unassigned,26,2 - Satisfied,Open,7/1/2020
044-487490-2616-3-S,Hadley,Thomtson,Architecture,Hardware,Request,1 - Low,24,0 - Unknown,Waiting for Requestor Feedback,8/3/2020
380-962219-3471-6-D,Cleo,Telega,Networking,Hardware,Request,2 - Medium,16,3 - Highly Satisfied,Open,10/28/2020
274-334552-7382-7-O,Garvey,Zack,Security and Governance,Access/Login,Request,0 - Unassigned,7,2 - Satisfied,Waiting for Requestor Feedback,6/14/2020
219-267496-9274-7-H,Melisse,Holby,Architecture,Systems,Issue,3 - High,29,0 - Unknown,Open,3/30/2020
746-847841-5129-3-S,Packston,Tomich,Architecture,Systems,Request,0 - Unassigned,9,2 - Satisfied,Open,8/2/2020
027-749248-3849-5-J,Sauncho,Leyborne,Security and Governance,Access/Login,Request,2 - Medium,29,0 - Unknown,Open,7/9/2020
910-353008-3172-8-O,Carmelle,Grimolbie,Architecture,Systems,Issue,1 - Low,30,3 - Highly Satisfied,Closed - No Action,10/4/2020
251-598492-8820-5-X,Martino,Pretley,Hardware,Hardware,Request,0 - Unassigned,30,0 - Unknown,Open,6/7/2020
